Episode,Reward,Cumulative Reward
1,-50,-50
2,0,-50
3,-100,-150
4,0,-150
5,-10,-160
6,-10,-170
7,-60,-230
8,-120,-350
9,-230,-580
10,-10,-590
11,-10,-600
12,-90,-690
13,-10,-700
14,-10,-710
15,10,-700
16,80,-620
17,40,-580
18,80,-500
19,20,-480
20,90,-390
21,10,-380
22,30,-350
23,140,-210
24,20,-190
25,10,-180
26,20,-160
27,80,-80
28,-10,-90
29,20,-70
30,20,-50
31,80,30
32,40,70
33,130,200
34,30,230
35,20,250
36,110,360
37,60,420
38,10,430
39,20,450
40,70,520
41,150,670
42,50,720
43,70,790
44,70,860
45,40,900
46,30,930
47,60,990
48,-10,980
49,0,980
50,10,990
51,10,1000
52,50,1050
53,10,1060
54,140,1200
55,10,1210
56,20,1230
57,100,1330
58,180,1510
59,140,1650
60,30,1680
61,290,1970
62,230,2200
63,90,2290
64,60,2350
65,50,2400
66,120,2520
67,10,2530
68,250,2780
69,40,2820
70,40,2860
71,50,2910
72,80,2990
73,40,3030
74,10,3040
75,30,3070
76,20,3090
77,50,3140
78,70,3210
79,20,3230
80,60,3290
81,80,3370
82,130,3500
83,100,3600
84,40,3640
85,40,3680
86,70,3750
87,130,3880
88,50,3930
89,30,3960
90,230,4190
91,370,4560
92,100,4660
93,20,4680
94,190,4870
95,40,4910
96,200,5110
97,40,5150
98,160,5310
99,80,5390
100,170,5560
101,520,6080
102,110,6190
103,140,6330
104,110,6440
105,10,6450
106,10,6460
107,160,6620
108,280,6900
109,10,6910
110,60,6970
111,110,7080
112,40,7120
113,60,7180
114,160,7340
115,100,7440
116,40,7480
117,20,7500
118,90,7590
119,120,7710
120,40,7750
121,150,7900
122,110,8010
123,40,8050
124,140,8190
125,240,8430
126,90,8520
127,110,8630
128,140,8770
129,30,8800
130,110,8910
131,20,8930
132,90,9020
133,480,9500
134,130,9630
135,270,9900
136,460,10360
137,290,10650
138,280,10930
139,180,11110
140,30,11140
141,10,11150
142,280,11430
143,90,11520
144,220,11740
145,100,11840
146,310,12150
147,170,12320
148,120,12440
149,50,12490
150,10,12500
151,100,12600
152,50,12650
153,10,12660
154,10,12670
155,140,12810
156,160,12970
157,10,12980
158,80,13060
159,10,13070
160,10,13080
161,210,13290
162,160,13450
163,190,13640
164,120,13760
165,10,13770
166,250,14020
167,110,14130
168,120,14250
169,40,14290
170,150,14440
171,310,14750
172,30,14780
173,20,14800
174,350,15150
175,180,15330
176,120,15450
177,40,15490
178,10,15500
179,80,15580
180,20,15600
181,40,15640
182,70,15710
183,80,15790
184,100,15890
185,30,15920
186,300,16220
187,380,16600
188,110,16710
189,70,16780
190,90,16870
191,30,16900
192,100,17000
193,40,17040
194,10,17050
195,100,17150
196,90,17240
197,190,17430
198,60,17490
199,70,17560
200,20,17580
201,60,17640
202,20,17660
203,100,17760
204,80,17840
205,20,17860
206,260,18120
207,90,18210
208,30,18240
209,50,18290
210,70,18360
211,40,18400
212,220,18620
213,30,18650
214,50,18700
215,70,18770
216,30,18800
217,230,19030
218,230,19260
219,30,19290
220,20,19310
221,30,19340
222,20,19360
223,30,19390
224,70,19460
225,110,19570
226,140,19710
227,360,20070
228,30,20100
229,70,20170
230,410,20580
231,30,20610
232,80,20690
233,50,20740
234,90,20830
235,40,20870
236,100,20970
237,10,20980
238,30,21010
239,30,21040
240,500,21540
241,90,21630
242,20,21650
243,0,21650
244,110,21760
245,50,21810
246,80,21890
247,60,21950
248,60,22010
249,30,22040
250,40,22080
251,150,22230
252,30,22260
253,20,22280
254,10,22290
255,10,22300
256,110,22410
257,40,22450
258,210,22660
259,90,22750
260,30,22780
261,110,22890
262,20,22910
263,20,22930
264,210,23140
265,120,23260
266,30,23290
267,330,23620
268,130,23750
269,120,23870
270,70,23940
271,40,23980
272,10,23990
273,110,24100
274,40,24140
275,110,24250
276,10,24260
277,190,24450
278,100,24550
279,90,24640
280,80,24720
281,20,24740
282,50,24790
283,10,24800
284,200,25000
285,180,25180
286,40,25220
287,10,25230
288,20,25250
289,40,25290
290,110,25400
291,60,25460
292,30,25490
293,10,25500
294,180,25680
295,410,26090
296,200,26290
297,90,26380
298,40,26420
299,130,26550
300,50,26600
301,90,26690
302,80,26770
303,230,27000
304,330,27330
305,230,27560
306,200,27760
307,40,27800
308,10,27810
309,30,27840
310,150,27990
311,220,28210
312,30,28240
313,60,28300
314,30,28330
315,50,28380
316,40,28420
317,80,28500
318,90,28590
319,160,28750
320,100,28850
321,120,28970
322,40,29010
323,80,29090
324,70,29160
325,40,29200
326,10,29210
327,210,29420
328,100,29520
329,10,29530
330,40,29570
331,40,29610
332,400,30010
333,60,30070
334,10,30080
335,310,30390
336,40,30430
337,160,30590
338,70,30660
339,90,30750
340,110,30860
341,40,30900
342,10,30910
343,320,31230
344,90,31320
345,130,31450
346,90,31540
347,180,31720
348,90,31810
349,10,31820
350,150,31970
351,20,31990
352,10,32000
353,10,32010
354,10,32020
355,160,32180
356,100,32280
357,120,32400
358,50,32450
359,50,32500
360,30,32530
361,370,32900
362,190,33090
363,110,33200
364,250,33450
365,10,33460
366,10,33470
367,40,33510
368,50,33560
369,90,33650
370,10,33660
371,150,33810
372,110,33920
373,150,34070
374,30,34100
375,40,34140
376,20,34160
377,10,34170
378,60,34230
379,60,34290
380,190,34480
381,130,34610
382,80,34690
383,30,34720
384,10,34730
385,90,34820
386,250,35070
387,50,35120
388,70,35190
389,240,35430
390,70,35500
391,30,35530
392,20,35550
393,10,35560
394,20,35580
395,220,35800
396,40,35840
397,60,35900
398,30,35930
399,60,35990
400,20,36010
401,90,36100
402,80,36180
403,180,36360
404,90,36450
405,240,36690
406,60,36750
407,10,36760
408,100,36860
409,10,36870
410,100,36970
411,90,37060
412,60,37120
413,10,37130
414,20,37150
415,80,37230
416,90,37320
417,10,37330
418,30,37360
419,50,37410
420,60,37470
421,60,37530
422,100,37630
423,260,37890
424,110,38000
425,290,38290
426,140,38430
427,210,38640
428,220,38860
429,60,38920
430,180,39100
431,10,39110
432,10,39120
433,150,39270
434,320,39590
435,20,39610
436,40,39650
437,120,39770
438,110,39880
439,140,40020
440,260,40280
441,40,40320
442,160,40480
443,40,40520
444,30,40550
445,70,40620
446,40,40660
447,10,40670
448,90,40760
449,100,40860
450,20,40880
451,60,40940
452,120,41060
453,20,41080
454,50,41130
455,170,41300
456,10,41310
457,60,41370
458,40,41410
459,130,41540
460,20,41560
461,20,41580
462,40,41620
463,210,41830
464,10,41840
465,30,41870
466,10,41880
467,40,41920
468,40,41960
469,30,41990
470,190,42180
471,10,42190
472,40,42230
473,10,42240
474,110,42350
475,230,42580
476,130,42710
477,40,42750
478,150,42900
479,140,43040
480,440,43480
481,120,43600
482,50,43650
483,70,43720
484,70,43790
485,180,43970
486,120,44090
487,230,44320
488,30,44350
489,140,44490
490,20,44510
491,30,44540
492,20,44560
493,20,44580
494,150,44730
495,300,45030
496,320,45350
497,270,45620
498,100,45720
499,40,45760
500,110,45870
